6686,-460,0.569352821,0.992687617,114,1,,,,,
6686,-459.9999997,0.899524909,1.239071855,114,1,,,,,
5445,-459.9999978,0.680544765,0.933073774,114,1,,,,,
5446,-459.9999975,0.680544745,0.933077701,114,1,,,,,
5452,-459.9999974,0.680544765,0.933075109,114,1,,,,,
5445,-459.9999973,0.680544285,0.933076381,114,1,,,,,
5448,-459.9999973,0.680544771,0.933075072,114,1,,,,,
5452,-459.9999973,0.680544776,0.93307479,114,1,,,,,
5449,-459.9999971,0.68054428,0.933077377,114,1,,,,,
5446,-459.999997,0.680544752,0.933071875,114,1,,,,,
5449,-459.9999961,0.680538601,0.933077832,114,1,,,,,
5452,-459.9999959,0.680543623,0.933072987,114,1,,,,,
5448,-459.9999958,0.68054356,0.933070899,114,1,,,,,
5448,-459.9999957,0.680538563,0.933073972,114,1,,,,,
5448,-459.9999957,0.680538645,0.933075152,114,1,,,,,
5450,-459.9999957,0.680538525,0.933070051,114,1,,,,,
5447,-459.9999957,0.680543559,0.933069654,114,1,,,,,
5446,-459.9999957,0.680543555,0.933079251,114,1,,,,,
6367,-459.9999956,0.68053865,0.933079315,114,1,,,,,
5444,-459.9999956,0.680538645,0.933075404,114,1,,,,,
5453,-459.9999955,0.680538615,0.933072543,114,1,,,,,
5451,-459.9999954,0.680543584,0.933073399,114,1,,,,,
5448,-459.9999954,0.680538624,0.933073263,114,1,,,,,
5451,-459.9999954,0.680538569,0.933072347,114,1,,,,,
6369,-459.9999954,0.680538682,0.933064982,114,1,,,,,
6366,-459.9999954,0.680538689,0.933076358,114,1,,,,,
6370,-459.9999954,0.680543583,0.933070168,114,1,,,,,
5451,-459.9999953,0.680538533,0.933072213,114,1,,,,,
5445,-459.9999952,0.680538718,0.933071708,114,1,,,,,
5452,-459.9999952,0.680538665,0.933071412,114,1,,,,,
5444,-459.9999952,0.680538559,0.933071148,114,1,,,,,
6367,-459.9999952,0.680538653,0.933073224,114,1,,,,,
6366,-459.9999951,0.680538509,0.933065361,114,1,,,,,
5451,-459.9999951,0.680538527,0.933077081,114,1,,,,,
5450,-459.9999951,0.680538699,0.933072407,114,1,,,,,
5445,-459.999995,0.680538655,0.933071689,114,1,,,,,
5447,-459.999995,0.680538524,0.933079484,114,1,,,,,
5444,-459.999995,0.680538695,0.933076887,114,1,,,,,
5447,-459.9999949,0.680538527,0.933076015,114,1,,,,,
5453,-459.9999949,0.68053861,0.933071994,114,1,,,,,
5451,-459.9999949,0.680543644,0.933069817,114,1,,,,,
5448,-459.9999949,0.680538549,0.933072208,114,1,,,,,
5453,-459.9999949,0.680543586,0.933078205,114,1,,,,,
5448,-459.9999947,0.680538502,0.933070558,114,1,,,,,
6370,-459.9999947,0.680538605,0.93307414,114,1,,,,,
5449,-459.9999947,0.680538666,0.933072266,114,1,,,,,
5450,-459.9999946,0.680543562,0.933076045,114,1,,,,,
6371,-459.9999945,0.680538719,0.93307104,114,1,,,,,
6366,-459.9999945,0.680543562,0.933081542,114,1,,,,,
5449,-459.9999943,0.680538578,0.933073189,114,1,,,,,
5453,-459.9999942,0.680538452,0.933071564,114,1,,,,,
6372,-459.999994,0.680538319,0.933072432,114,1,,,,,
6371,-459.9999939,0.68053854,0.933075875,114,1,,,,,
5453,-459.9999937,0.680538346,0.933075581,114,1,,,,,
5447,-459.9999937,0.680538378,0.933073566,114,1,,,,,
5451,-459.9999937,0.680538282,0.933069793,114,1,,,,,
5453,-459.9999936,0.680538416,0.933074907,114,1,,,,,
5452,-459.9999936,0.680538328,0.933074829,114,1,,,,,
5452,-459.9999936,0.680538411,0.933075671,114,1,,,,,
5449,-459.9999935,0.680538443,0.933079033,114,1,,,,,
5451,-459.9999935,0.680538353,0.933075842,114,1,,,,,
5444,-459.9999934,0.680538376,0.933075506,114,1,,,,,
5451,-459.9999934,0.680538394,0.933070649,114,1,,,,,
5451,-459.9999934,0.680538324,0.93307103,114,1,,,,,
5446,-459.9999933,0.680538382,0.933071984,114,1,,,,,
6368,-459.9999932,0.680538319,0.933073318,114,1,,,,,
5446,-459.9999932,0.680538306,0.933077505,114,1,,,,,
6368,-459.9999924,0.68053835,0.933069177,114,1,,,,,
5452,-459.9999922,0.680542495,0.933071951,114,1,,,,,
5447,-459.9999922,0.680540308,0.933070958,114,1,,,,,
5448,-459.9999921,0.680544422,0.933074958,114,1,,,,,
6371,-459.9999921,0.680542518,0.933066565,114,1,,,,,
6372,-459.9999921,0.680540318,0.933071849,114,1,,,,,
5450,-459.999992,0.680540275,0.933079305,114,1,,,,,
5446,-459.9999919,0.680540328,0.933069564,114,1,,,,,
6367,-459.9999917,0.680542568,0.933075609,114,1,,,,,
5451,-459.9999917,0.680540275,0.933078657,114,1,,,,,
5452,-459.9999916,0.680540377,0.933078778,114,1,,,,,
5445,-459.9999916,0.680544421,0.933072885,114,1,,,,,
6370,-459.9999916,0.680544964,0.93307165,114,1,,,,,
6372,-459.9999914,0.680544329,0.93308133,114,1,,,,,
5452,-459.9999914,0.680541199,0.933078784,114,1,,,,,
5452,-459.9999913,0.680544449,0.933070743,114,1,,,,,
5450,-459.9999913,0.680544309,0.933072868,114,1,,,,,
6364,-459.9999912,0.680542539,0.933080873,114,1,,,,,
5446,-459.9999912,0.680540337,0.933078223,114,1,,,,,
5450,-459.9999912,0.680544376,0.933070556,114,1,,,,,
5453,-459.9999911,0.680541198,0.933073067,114,1,,,,,
5449,-459.9999911,0.680544385,0.933071341,114,1,,,,,
5444,-459.999991,0.68054438,0.93307609,114,1,,,,,
6371,-459.999991,0.680540307,0.933072608,114,1,,,,,
5449,-459.999991,0.680540291,0.933074846,114,1,,,,,
6371,-459.9999909,0.68054256,0.93308394,114,1,,,,,
5446,-459.9999909,0.680544357,0.93307414,114,1,,,,,
5447,-459.9999909,0.680544328,0.933076124,114,1,,,,,
5445,-459.9999909,0.680544328,0.933078868,114,1,,,,,
5444,-459.9999908,0.680544435,0.933070951,114,1,,,,,
5453,-459.9999907,0.680540292,0.933078359,114,1,,,,,
5448,-459.9999906,0.680538262,0.93307419,114,1,,,,,
6365,-459.9999906,0.680544329,0.933067884,114,1,,,,,
6364,-459.9999905,0.680544417,0.933077578,114,1,,,,,
6366,-459.9999905,0.680540241,0.933075481,114,1,,,,,
5446,-459.9999905,0.680540245,0.933076305,114,1,,,,,
6369,-459.9999904,0.680543385,0.933081645,114,1,,,,,
5450,-459.9999904,0.680540289,0.933071506,114,1,,,,,
5452,-459.9999903,0.680544441,0.933070417,114,1,,,,,
5446,-459.9999903,0.680537877,0.933071917,114,1,,,,,
6366,-459.9999903,0.680540359,0.933071821,114,1,,,,,
5445,-459.9999902,0.680541205,0.933071919,114,1,,,,,
5448,-459.9999902,0.680537826,0.933072327,114,1,,,,,
5446,-459.9999901,0.680539992,0.933070857,114,1,,,,,
6371,-459.9999901,0.680540777,0.933070517,114,1,,,,,
5452,-459.9999901,0.680543392,0.933073284,114,1,,,,,
5446,-459.99999,0.680537858,0.933074136,114,1,,,,,
6365,-459.9999899,0.680544727,0.933074671,114,1,,,,,
5450,-459.9999899,0.680541235,0.933071676,114,1,,,,,
5444,-459.9999899,0.680541187,0.933078377,114,1,,,,,
6373,-459.9999899,0.680544987,0.933072686,114,1,,,,,
5452,-459.9999899,0.68053654,0.933069841,114,1,,,,,
6369,-459.9999898,0.680541206,0.933082724,114,1,,,,,
5447,-459.9999898,0.680536542,0.933073956,114,1,,,,,
5445,-459.9999897,0.680537864,0.933077522,114,1,,,,,
6366,-459.9999897,0.680540974,0.933070704,114,1,,,,,
5449,-459.9999897,0.680536566,0.933076055,114,1,,,,,
6365,-459.9999896,0.680536664,0.933075195,114,1,,,,,
5447,-459.9999896,0.680543364,0.933070413,114,1,,,,,
5453,-459.9999895,0.680536528,0.933070243,114,1,,,,,
5453,-459.9999893,0.680541211,0.933076477,114,1,,,,,
6368,-459.9999893,0.680541244,0.933080066,114,1,,,,,
5451,-459.9999893,0.680536549,0.933078422,114,1,,,,,
5451,-459.9999892,0.680537872,0.933069758,114,1,,,,,
6366,-459.9999892,0.680536692,0.933067347,114,1,,,,,
6369,-459.9999891,0.680543352,0.933072569,114,1,,,,,
6364,-459.9999891,0.680543404,0.93307252,114,1,,,,,
5447,-459.9999891,0.680543395,0.933071107,114,1,,,,,
5453,-459.9999891,0.680544659,0.933073296,114,1,,,,,
5445,-459.9999891,0.680544726,0.933070266,114,1,,,,,
5451,-459.999989,0.680537823,0.933074703,114,1,,,,,
5445,-459.999989,0.680540954,0.933076127,114,1,,,,,
5449,-459.999989,0.680540879,0.933069666,114,1,,,,,
6366,-459.9999889,0.68054502,0.933077301,114,1,,,,,
5445,-459.9999889,0.680537298,0.933071121,114,1,,,,,
5450,-459.9999888,0.68053959,0.933078626,114,1,,,,,
6373,-459.9999888,0.68054124,0.933072038,114,1,,,,,
5449,-459.9999888,0.680540035,0.933073483,114,1,,,,,
5448,-459.9999888,0.680540919,0.933078919,114,1,,,,,
5445,-459.9999888,0.68054093,0.933072191,114,1,,,,,
5445,-459.9999888,0.680539965,0.933071355,114,1,,,,,
6368,-459.9999887,0.680537809,0.93307379,114,1,,,,,
6365,-459.9999887,0.680541183,0.933073575,114,1,,,,,
6367,-459.9999887,0.680536649,0.933066355,114,1,,,,,
5451,-459.9999887,0.680536563,0.933072427,114,1,,,,,
5449,-459.9999887,0.680537398,0.933069885,114,1,,,,,
5450,-459.9999887,0.680537348,0.933071789,114,1,,,,,
5448,-459.9999887,0.680543349,0.933075719,114,1,,,,,
5448,-459.9999886,0.680540907,0.933077696,114,1,,,,,
6365,-459.9999886,0.680536642,0.933073737,114,1,,,,,
5447,-459.9999885,0.680536534,0.933077735,114,1,,,,,
6365,-459.9999885,0.680540899,0.933079667,114,1,,,,,
5453,-459.9999885,0.680536631,0.933073682,114,1,,,,,
5453,-459.9999885,0.6805378,0.933070401,114,1,,,,,
